ext_id,Latitude,Longitude,label,label_category,lat_grid,lon_grid
14284,-37.80184800023817,144.97118799989312,1.271,Low,-37.802,144.971
11185,-37.80183099965426,144.97157000035023,39.003,High,-37.802,144.972
10842,-37.80126999951671,144.9722470002163,0.587,Low,-37.801,144.972
10857,-37.80129000023141,144.9722279995344,0.684,Low,-37.801,144.972
12096,-37.80247600027752,144.9715880004046,0.098,Low,-37.802,144.972
11454,-37.80238699987323,144.9709039996403,1.369,Low,-37.802,144.971
8122,-37.81963699997612,144.9445829997932,26.1,Medium,-37.82,144.945
8731,-37.82019700025689,144.94236599988253,52.688,High,-37.82,144.942
10334,-37.81392299953665,144.94142199968965,17.693,Medium,-37.814,144.941
8188,-37.8197510002237,144.94417099993746,67.351,High,-37.82,144.944
8381,-37.82012999984428,144.9428939999404,30.596,High,-37.82,144.943
8047,-37.81952099998176,144.94500199951935,56.794,High,-37.82,144.945
9110,-37.81946999980407,144.94463599999446,81.329,High,-37.819,144.945
8418,-37.82018200038233,144.94260399992862,15.445,Medium,-37.82,144.943
8424,-37.820185999817774,144.94255799988235,13.099,Medium,-37.82,144.943
9181,-37.81934300013626,144.94505299990595,93.646,High,-37.819,144.945
8437,-37.820210000091954,144.94245900048168,41.153,High,-37.82,144.942
10893,-37.80134099994708,144.9721650004282,0.587,Low,-37.801,144.972
8445,-37.82022599955261,144.94240300062756,51.808,High,-37.82,144.942
8454,-37.82024799995301,144.94233700056438,27.468,Medium,-37.82,144.942
8545,-37.82042699960147,144.9418330005664,40.762,High,-37.82,144.942
9317,-37.81914900027819,144.94595199938772,34.409,High,-37.819,144.946
11762,-37.80289799966271,144.97038299966255,0.88,Low,-37.803,144.97
8995,-37.81972099958257,144.9439540001721,24.047,Medium,-37.82,144.944
11534,-37.802551999933975,144.9706050003792,5.767,Low,-37.803,144.971
9351,-37.81908799990208,144.94615899968915,63.441,High,-37.819,144.946
8934,-37.81983599980638,144.94355800053555,8.602,Low,-37.82,144.944
10152,-37.81372000024712,144.94200500054,26.295,Medium,-37.814,144.942
9166,-37.81935699994147,144.9449580002661,64.027,High,-37.819,144.945
9226,-37.81927800015878,144.94535600053337,14.956,Medium,-37.819,144.945
9101,-37.8194920003011,144.9445880004249,75.464,High,-37.819,144.945
10953,-37.801419000351046,144.9720890000005,0.293,Low,-37.801,144.972
10964,-37.80143200009974,144.972063999744,0.391,Low,-37.801,144.972
8562,-37.82043500029804,144.9417779996748,32.16,High,-37.82,144.942
14717,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
14884,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
14431,-37.80147399980507,144.97070699960216,0.684,Low,-37.801,144.971
16201,-37.80253499982341,144.9701080001334,0.293,Low,-37.803,144.97
14904,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
15251,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
15252,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
12828,-37.80138300006725,144.97401400012672,2.737,Low,-37.801,144.974
15917,-37.80166400008695,144.97025800040862,0.489,Low,-37.802,144.97
14657,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
12303,-37.80219300004333,144.97229999968158,0.782,Low,-37.802,144.972
15297,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
12386,-37.8020820001928,144.97259500022926,0.098,Low,-37.802,144.973
12716,-37.801557000191536,144.97373700049687,0.391,Low,-37.802,144.974
12734,-37.801534999817086,144.97380299961983,0.293,Low,-37.802,144.974
12546,-37.80182000006362,144.9731419997985,1.857,Low,-37.802,144.973
12583,-37.80176699984277,144.97326299970092,0.782,Low,-37.802,144.973
12591,-37.80175700031001,144.9732930003671,2.151,Low,-37.802,144.973
15972,-37.80183499996705,144.9701900004108,0.782,Low,-37.802,144.97
16051,-37.802080000323485,144.97009299966214,0.391,Low,-37.802,144.97
15373,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
15406,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
16375,-37.80693899968765,144.9710540004728,3.617,Low,-37.807,144.971
13152,-37.80197399949419,144.97270300009325,0.391,Low,-37.802,144.973
13174,-37.80203299957531,144.97273100061895,0.293,Low,-37.802,144.973
13199,-37.80209599971819,144.97276600054815,2.835,Low,-37.802,144.973
13203,-37.80210799982678,144.97277599991185,4.888,Low,-37.802,144.973
12964,-37.8014359995856,144.97239000003108,0.782,Low,-37.801,144.972
13237,-37.80221599965349,144.97284299967436,0.587,Low,-37.802,144.973
13239,-37.80222099959072,144.97284500047127,0.489,Low,-37.802,144.973
13240,-37.802223999693226,144.97284599968827,0.489,Low,-37.802,144.973
13241,-37.80222600049177,144.97284799957913,0.391,Low,-37.802,144.973
13253,-37.80226299968608,144.97286200046594,0.196,Low,-37.802,144.973
13293,-37.80237299989896,144.97292700022228,4.399,Low,-37.802,144.973
13343,-37.80250500010228,144.97300699958456,0.196,Low,-37.803,144.973
13383,-37.80259000028896,144.97305800001746,4.399,Low,-37.803,144.973
13387,-37.80259799950404,144.97306199956836,2.151,Low,-37.803,144.973
13424,-37.80268299967139,144.97312300059295,0.391,Low,-37.803,144.973
13443,-37.80273199979795,144.97314700003938,3.715,Low,-37.803,144.973
13505,-37.8029410001643,144.97328799993448,1.564,Low,-37.803,144.973
13553,-37.80304499968875,144.973338000019,1.662,Low,-37.803,144.973
13592,-37.80308299962816,144.97323500018442,1.369,Low,-37.803,144.973
13049,-37.80169199984478,144.97252900034997,0.978,Low,-37.802,144.973
13069,-37.80174800021744,144.9725600004302,0.196,Low,-37.802,144.973
15523,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
15807,-37.801328999712304,144.97029099968654,0.684,Low,-37.801,144.97
15809,-37.80133400036121,144.97029100021334,0.684,Low,-37.801,144.97
